Division,Rank,Team,R,HR,RBI,SB,OBP,K,W,SV,ERA,WHIP,GP,IP,Moves
Bo Jackson,0,Super Roto,739.0,170.0,649.0,62.0,0.34716509,1117.0,68.0,31.0,4.27722772,1.24102723,1382.0,1077.3333333333333,17
Bo Jackson,0,Geaux  Tigers ,708.0,179.0,643.0,64.0,0.32977778,937.0,62.0,18.0,4.27302632,1.25219298,1413.0,912.0,22
Bo Jackson,0,Michigan  RGP Taz Devil,757.0,219.0,725.0,80.0,0.32531776,1076.0,53.0,65.0,3.69223238,1.20332898,1410.0,1021.3333333333334,111
Bo Jackson,0,Online Predators,735.0,206.0,733.0,71.0,0.33390676,1068.0,75.0,62.0,3.62822878,1.20940959,1448.0,1084.0,24
Bo Jackson,0,Team thurlow1,786.0,217.0,734.0,74.0,0.32776139,1181.0,60.0,46.0,3.70361842,1.18322368,1513.0,1013.3333333333334,83
Bo Jackson,0,West Coast Walk-offs,739.0,249.0,768.0,86.0,0.31742073,1020.0,62.0,55.0,4.3432377,1.25614754,1392.0,976.0,15
Bo Jackson,0,The Ugly Club,817.0,250.0,785.0,94.0,0.3366202,1175.0,75.0,60.0,3.08840304,1.06368821,1446.0,1052.0,43
Bo Jackson,0,Slow Roller,776.0,206.0,746.0,79.0,0.3210776,1024.0,67.0,48.0,3.74144115,1.20019563,1462.0,1022.3333333333334,69
Bo Jackson,0,Savannah Bananas,822.0,244.0,785.0,53.0,0.35788071,1206.0,78.0,25.0,3.21489161,1.12346843,1454.0,1061.0,49
Bo Jackson,0,Slow Roar Deuce,686.0,152.0,579.0,162.0,0.32362219,954.0,64.0,115.0,3.87234043,1.20449173,1414.0,846.0,88
Bo Jackson,0,Lost Team I,707.0,211.0,724.0,93.0,0.33950617,969.0,70.0,23.0,3.76744186,1.22548028,1401.0,989.0,8
Bo Jackson,0,Team Katayama,734.0,215.0,673.0,82.0,0.33662478,1199.0,79.0,83.0,3.97058824,1.22309136,1374.0,1065.3333333333333,88
