,Division,Rank,Team,R,HR,RBI,SB,OBP,K,W,SV,ERA,WHIP,GP,IP,Moves
0,Lou Gehrig,0,Team Ottley,729.0,213.0,691.0,58.0,0.32647208,1226.0,93.0,39.0,4.04123129,1.19288337,1466.0,1180.3333333333333,45
1,Lou Gehrig,0,Kpax and the Ninja Banditos,703.0,189.0,682.0,87.0,0.32638764,924.0,55.0,9.0,3.89547295,1.22119985,1372.0,905.6666666666666,51
2,Lou Gehrig,0,Autodrafters Anonymous,687.0,189.0,659.0,83.0,0.32017,1039.0,65.0,55.0,3.56539552,1.18090136,1401.0,1057.6666666666667,81
3,Lou Gehrig,0,Yogurt Bazooka,796.0,190.0,692.0,109.0,0.33525535,1132.0,70.0,67.0,3.57555178,1.19796265,1471.0,981.6666666666666,109
4,Lou Gehrig,0,Sweat Caroline,743.0,235.0,716.0,72.0,0.33964194,1117.0,68.0,52.0,3.73986486,1.19189189,1450.0,986.6666666666666,113
5,Lou Gehrig,0,Dick Butt,684.0,186.0,708.0,81.0,0.31887088,1042.0,65.0,77.0,3.56225806,1.13225806,1425.0,1033.3333333333333,65
6,Lou Gehrig,0,Rickey Mantle,867.0,269.0,799.0,101.0,0.33656298,1152.0,65.0,51.0,3.68597843,1.24437596,1441.0,1081.6666666666667,49
7,Lou Gehrig,0,Vermont Lake Monsters,785.0,218.0,680.0,68.0,0.34540291,1392.0,107.0,28.0,4.01052632,1.21614035,1382.0,1425.0,36
8,Lou Gehrig,0,Team Dodson,751.0,234.0,757.0,85.0,0.32771285,1227.0,73.0,40.0,4.0313875,1.1774714,1468.0,1136.3333333333333,31
9,Lou Gehrig,0,Team persio,804.0,236.0,788.0,79.0,0.34110098,1068.0,65.0,81.0,3.23395522,1.14067164,1445.0,893.3333333333334,62
10,Lou Gehrig,0,Never Mind the  Pollocks,707.0,160.0,646.0,50.0,0.35675776,879.0,57.0,97.0,4.40217391,1.26242236,1343.0,858.6666666666666,56
11,Lou Gehrig,0,Rural Jurors,678.0,207.0,686.0,70.0,0.32070189,801.0,57.0,22.0,3.41623037,1.17015707,1350.0,764.0,5
