Division,ERA,GP,HR,IP,K,Moves,OBP,R,RBI,Rank,SB,SV,Team,Unnamed: 0,W,WHIP,Sum
Bo Jackson,10.0,1382.0,14.5,1077.3333333333333,104.0,17,170.0,83.5,30.0,147.0,33.5,38.5,Super Roto,,92.0,37.0,613.0
Bo Jackson,12.0,1413.0,23.0,912.0,29.0,22,63.0,47.5,28.0,178.0,42.5,13.0,Geaux  Tigers ,,45.5,31.0,334.5
Bo Jackson,103.0,1410.0,115.0,1021.3333333333335,79.0,111,43.0,103.0,105.0,98.0,95.5,130.0,Michigan  RGP Taz Devil,,14.5,85.0,873.0
Bo Jackson,116.0,1448.0,78.0,1084.0,75.5,24,93.0,76.5,113.0,77.0,62.0,127.0,Online Predators,,139.0,72.0,952.0
Bo Jackson,99.0,1513.0,111.0,1013.3333333333335,135.0,83,52.0,131.0,114.5,80.0,75.0,73.0,Team thurlow1,,38.0,103.0,931.5
Bo Jackson,7.0,1392.0,167.0,976.0,54.0,15,5.0,83.5,148.5,122.0,117.5,110.0,West Coast Walk-offs,,45.5,24.0,762.0
Bo Jackson,173.0,1446.0,169.5,1052.0,132.0,43,116.0,154.5,159.5,3.0,142.5,123.0,The Ugly Club,,139.0,176.0,1485.0
Bo Jackson,91.0,1462.0,78.0,1022.3333333333335,56.0,69,15.0,122.0,125.0,110.0,91.5,82.5,Slow Roller,,82.5,87.0,830.5
Bo Jackson,167.0,1454.0,162.5,1061.0,149.0,49,180.0,160.0,159.5,13.0,9.0,21.5,Savannah Bananas,,155.5,159.0,1323.0
Bo Jackson,59.0,1414.0,3.0,846.0,37.0,88,32.0,32.5,5.0,137.0,180.0,178.0,Slow Roar Deuce,,61.0,83.0,670.5
Bo Jackson,88.0,1401.0,95.0,989.0,40.5,8,137.0,45.5,102.5,113.0,139.5,18.0,Lost Team I,,108.0,51.0,825.0
Bo Jackson,47.0,1374.0,105.0,1065.3333333333333,147.5,88,117.0,73.5,54.5,64.0,103.0,161.5,Team Katayama,,163.0,54.0,1026.0
Ted Williams,171.0,1452.0,178.0,1072.0,111.0,82,142.0,171.0,179.0,1.0,54.0,167.0,Charlotte  Stone crabs ,,173.0,171.0,1517.0
Ted Williams,69.0,1203.0,11.0,818.3333333333335,27.0,2,26.0,1.0,1.0,177.0,7.0,29.0,Team NorthEast,,24.5,143.0,338.5
Ted Williams,6.0,1488.0,108.0,930.0,51.0,102,61.0,105.0,150.0,130.0,39.5,112.5,One Hit Wander,,69.0,19.0,721.0
