Division,ERA,GP,HR,IP,K,Moves,OBP,R,RBI,Rank,SB,SV,Team,Unnamed: 0,W,WHIP
Bo Jackson,4.27722772,1382.0,170.0,1077.3333333333333,1117.0,17,0.34716509,739.0,649.0,0,62.0,31.0,Super Roto,,68.0,1.24102723
Bo Jackson,4.27302632,1413.0,179.0,912.0,937.0,22,0.32977778,708.0,643.0,0,64.0,18.0,Geaux  Tigers ,,62.0,1.25219298
Bo Jackson,3.69223238,1410.0,219.0,1021.3333333333335,1076.0,111,0.32531776,757.0,725.0,0,80.0,65.0,Michigan  RGP Taz Devil,,53.0,1.20332898
Bo Jackson,3.62822878,1448.0,206.0,1084.0,1068.0,24,0.33390676,735.0,733.0,0,71.0,62.0,Online Predators,,75.0,1.20940959
Bo Jackson,3.70361842,1513.0,217.0,1013.3333333333335,1181.0,83,0.32776139,786.0,734.0,0,74.0,46.0,Team thurlow1,,60.0,1.18322368
Bo Jackson,4.3432377,1392.0,249.0,976.0,1020.0,15,0.31742073,739.0,768.0,0,86.0,55.0,West Coast Walk-offs,,62.0,1.25614754
Bo Jackson,3.08840304,1446.0,250.0,1052.0,1175.0,43,0.33662020000000004,817.0,785.0,0,94.0,60.0,The Ugly Club,,75.0,1.06368821
Bo Jackson,3.74144115,1462.0,206.0,1022.3333333333335,1024.0,69,0.32107759999999996,776.0,746.0,0,79.0,48.0,Slow Roller,,67.0,1.20019563
Bo Jackson,3.21489161,1454.0,244.0,1061.0,1206.0,49,0.35788071,822.0,785.0,0,53.0,25.0,Savannah Bananas,,78.0,1.12346843
Bo Jackson,3.87234043,1414.0,152.0,846.0,954.0,88,0.32362219,686.0,579.0,0,162.0,115.0,Slow Roar Deuce,,64.0,1.20449173
Bo Jackson,3.76744186,1401.0,211.0,989.0,969.0,8,0.33950617,707.0,724.0,0,93.0,23.0,Lost Team I,,70.0,1.22548028
Bo Jackson,3.97058824,1374.0,215.0,1065.3333333333333,1199.0,88,0.33662478,734.0,673.0,0,82.0,83.0,Team Katayama,,79.0,1.22309136
Ted Williams,3.11473881,1452.0,277.0,1072.0,1140.0,82,0.34027662,844.0,906.0,0,69.0,90.0,Charlotte  Stone crabs ,,86.0,1.08395522
Ted Williams,3.84928717,1203.0,167.0,818.3333333333335,915.0,2,0.32294317,543.0,553.0,0,51.0,27.0,Team NorthEast,,57.0,1.1389002000000001
Ted Williams,4.35483871,1488.0,216.0,930.0,1014.0,102,0.3293453,758.0,769.0,0,63.0,56.0,One Hit Wander,,65.0,1.26129032
Ted Williams,3.46829268,1468.0,240.0,1025.0,1130.0,137,0.32668919,768.0,750.0,0,73.0,47.0,Team SCHWARTZ,,73.0,1.20487805
Ted Williams,3.50991225,1503.0,223.0,1025.6666666666667,1150.0,76,0.33087874,826.0,729.0,0,101.0,36.0,Team thurlow3,,62.0,1.13389665
Ted Williams,3.94570276,1352.0,199.0,1074.3333333333333,1054.0,8,0.33729088,767.0,648.0,0,73.0,45.0,Haders Gonna Hate,,74.0,1.19702141
