,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,,Totals,Per Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rk,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2,1,Chris Clemons,SR,2018-19,G,Campbell,Big South,33,1208,304,679,.448,165,290,139,389,.357,246,283,.869,25,142,167,94,49,11,84,63,993,36.6,9.2,20.6,5.0,8.8,4.2,11.8,7.5,8.6,0.8,4.3,5.1,2.8,1.5,0.3,2.5,1.9,30.1
3,2,Marcus Keene,JR,2016-17,G,Central Michigan,MAC,32,1179,313,700,.447,188,360,125,340,.368,208,254,.819,22,121,143,156,26,0,145,63,959,36.8,9.8,21.9,5.9,11.3,3.9,10.6,6.5,7.9,0.7,3.8,4.5,4.9,0.8,0.0,4.5,2.0,30.0
4,3,Markus Howard,SR,2019-20,G,Marquette,Big East,29,963,237,561,.422,116,267,121,294,.412,211,249,.847,16,85,101,95,27,1,98,70,806,33.2,8.2,19.3,4.0,9.2,4.2,10.1,7.3,8.6,0.6,2.9,3.5,3.3,0.9,0.0,3.4,2.4,27.8
5,4,Trae Young,FR,2017-18,G,Oklahoma,Big 12,32,1133,261,618,.422,143,290,118,328,.360,236,274,.861,14,111,125,279,54,8,167,57,876,35.4,8.2,19.3,4.5,9.1,3.7,10.3,7.4,8.6,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4
6,5,James Daniel,JR,2015-16,G,Howard,MEAC,30,1115,226,582,.388,146,341,80,241,.332,280,331,.846,22,44,66,84,59,7,123,62,812,37.2,7.5,19.4,4.9,11.4,2.7,8.0,9.3,11.0,0.7,1.5,2.2,2.8,2.0,0.2,4.1,2.1,27.1
7,6,Justin Wright-Foreman,SR,2018-19,G,Hofstra,CAA,35,1321,330,646,.511,220,387,110,259,.425,178,206,.864,12,129,141,102,30,7,91,67,948,37.7,9.4,18.5,6.3,11.1,3.1,7.4,5.1,5.9,0.3,3.7,4.0,2.9,0.9,0.2,2.6,1.9,27.1
8,7,Jhivvan Jackson,JR,2019-20,G,Texas-San Antonio,CUSA,32,1105,290,693,.418,169,351,121,342,.354,155,182,.852,30,149,179,77,46,7,91,103,856,34.5,9.1,21.7,5.3,11.0,3.8,10.7,4.8,5.7,0.9,4.7,5.6,2.4,1.4,0.2,2.8,3.2,26.8
9,8,Doug McDermott,SR,2013-14,F,Creighton,Big East,35,1181,330,627,.526,234,413,96,214,.449,178,206,.864,57,187,244,55,8,5,62,67,934,33.7,9.4,17.9,6.7,11.8,2.7,6.1,5.1,5.9,1.6,5.3,7.0,1.6,0.2,0.1,1.8,1.9,26.7
10,9,Reggie Hamilton,SR,2011-12,G,Oakland,Summit,36,1284,281,630,.446,163,349,118,281,.420,262,299,.876,26,111,137,185,72,2,134,101,942,35.7,7.8,17.5,4.5,9.7,3.3,7.8,7.3,8.3,0.7,3.1,3.8,5.1,2.0,0.1,3.7,2.8,26.2
11,10,Antoine Davis,FR,2018-19,G,Detroit Mercy,Horizon,30,1122,263,657,.400,131,310,132,347,.380,126,147,.857,22,72,94,107,28,0,99,70,784,37.4,8.8,21.9,4.4,10.3,4.4,11.6,4.2,4.9,0.7,2.4,3.1,3.6,0.9,0.0,3.3,2.3,26.1
12,11,Tiwian Kendley,SR,2017-18,G,Morgan State,MEAC,21,692,173,382,.453,141,265,32,117,.274,170,226,.752,26,58,84,46,45,7,75,59,548,33.0,8.2,18.2,6.7,12.6,1.5,5.6,8.1,10.8,1.2,2.8,4.0,2.2,2.1,0.3,3.6,2.8,26.1
13,12,Kendrick Nunn,SR,2017-18,G,Oakland,Horizon,30,1136,262,602,.435,128,262,134,340,.394,119,142,.838,27,115,142,113,45,11,88,67,777,37.9,8.7,20.1,4.3,8.7,4.5,11.3,4.0,4.7,0.9,3.8,4.7,3.8,1.5,0.4,2.9,2.2,25.9
14,13,Lamine Diane,SO,2019-20,F,Cal State Northridge,Big West,19,682,176,367,.480,160,311,16,56,.286,118,178,.663,38,156,194,53,33,38,56,62,486,35.9,9.3,19.3,8.4,16.4,0.8,2.9,6.2,9.4,2.0,8.2,10.2,2.8,1.7,2.0,2.9,3.3,25.6
15,14,Antoine Mason,JR,2013-14,G,Niagara,MAAC,33,1242,269,612,.440,221,444,48,168,.286,260,357,.728,32,86,118,51,40,5,91,95,846,37.6,8.2,18.5,6.7,13.5,1.5,5.1,7.9,10.8,1.0,2.6,3.6,1.5,1.2,0.2,2.8,2.9,25.6
16,15,Mike Daum,SR,2018-19,F,South Dakota State,Summit,33,1099,286,559,.512,219,378,67,181,.370,196,234,.838,78,307,385,58,24,32,73,95,835,33.3,8.7,16.9,6.6,11.5,2.0,5.5,5.9,7.1,2.4,9.3,11.7,1.8,0.7,1.0,2.2,2.9,25.3
17,16,Chris Clemons,SO,2016-17,G,Campbell,Big South,36,1205,301,674,.447,183,341,118,333,.354,184,223,.825,18,149,167,92,70,18,100,69,904,33.5,8.4,18.7,5.1,9.5,3.3,9.3,5.1,6.2,0.5,4.1,4.6,2.6,1.9,0.5,2.8,1.9,25.1
18,17,Mike Daum,SO,2016-17,F,South Dakota State,Summit,35,1143,274,533,.514,195,344,79,189,.418,251,289,.869,76,209,285,49,20,15,98,87,878,32.7,7.8,15.2,5.6,9.8,2.3,5.4,7.2,8.3,2.2,6.0,8.1,1.4,0.6,0.4,2.8,2.5,25.1
19,18,Jordan Howard,SR,2017-18,G,Central Arkansas,Southland,35,1259,280,613,.457,167,326,113,287,.394,207,233,.888,10,115,125,93,36,0,80,41,880,36.0,8.0,17.5,4.8,9.3,3.2,8.2,5.9,6.7,0.3,3.3,3.6,2.7,1.0,0.0,2.3,1.2,25.1
20,19,Erick Green,SR,2012-13,G,Virginia Tech,ACC,32,1166,261,550,.475,200,393,61,157,.389,218,267,.816,15,112,127,121,42,6,69,44,801,36.4,8.2,17.2,6.3,12.3,1.9,4.9,6.8,8.3,0.5,3.5,4.0,3.8,1.3,0.2,2.2,1.4,25.0
21,20,Buddy Hield,SR,2015-16,G,Oklahoma,Big 12,37,1309,301,601,.501,154,279,147,322,.457,176,200,.880,46,166,212,75,42,18,113,76,925,35.4,8.1,16.2,4.2,7.5,4.0,8.7,4.8,5.4,1.2,4.5,5.7,2.0,1.1,0.5,3.1,2.1,25.0
22,,Totals,Per Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Rk,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
24,21,Markus Howard,JR,2018-19,G,Marquette,Big East,34,1138,252,600,.420,132,302,120,298,.403,227,255,.890,14,121,135,133,36,1,134,72,851,33.5,7.4,17.6,3.9,8.9,3.5,8.8,6.7,7.5,0.4,3.6,4.0,3.9,1.1,0.0,3.9,2.1,25.0
25,22,Chris Clemons,JR,2017-18,G,Campbell,Big South,31,1055,233,515,.452,138,259,95,256,.371,211,245,.861,10,132,142,95,49,10,83,58,772,34.0,7.5,16.6,4.5,8.4,3.1,8.3,6.8,7.9,0.3,4.3,4.6,3.1,1.6,0.3,2.7,1.9,24.9
26,23,T.J. Warren,SO,2013-14,F,North Carolina State,ACC,35,1238,342,652,.525,311,536,31,116,.267,156,226,.690,113,137,250,40,63,21,83,97,871,35.4,9.8,18.6,8.9,15.3,0.9,3.3,4.5,6.5,3.2,3.9,7.1,1.1,1.8,0.6,2.4,2.8,24.9
