Date,DraftType,Overall,Pick,Player,Position,Last Pick,Draft length,league_id,Name,Lineup,Scoring,Teams,Copies,Decision?
2021-04-14,SFIRSTRANDOM,1,1.01,"Mahomes, Patrick",QB,,,60317,THE DIRTY DOZEN,"QB: 1-2, RB: 2-6, WR: 2-6, TE: 1-5, PK: 1, Def: 1, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 3.0",12.0,1.0,Yes
2021-03-28,SDRAFT,1,.,Rookie Pick 1,Pick,,,27369,(1)2 Fellas,"QB: 1-2, RB: 2-4, WR: 3-5, TE: 1-3, ","QB_pTD: 4.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",12.0,1.0,Yes
2021-04-19,SFIRSTRANDOM,1,1.01,"McCaffrey, Christian",RB,,,52446,SafeLeagues Dynasty 614 - Basic (SF/TE),"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 2.0",12.0,1.0,Yes
2021-03-18,3RDROUND,1,1.01,"Mahomes, Patrick",QB,33.12,33.0,37042,Animal Shelter Charity League,"QB: 1-2, RB: 2-6, WR: 2-6, TE: 1-5, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,Yes
2021-04-11,SDRAFT,1,1.01,"Mahomes, Patrick",QB,28.12,28.0,10112,Remix Nation Vol.2,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,Yes
2021-02-11,SDRAFT,1,1.01,"Barkley, Saquon",RB,16.12,16.0,72786,Redraft ADP Committee Feb 2021,"QB: 1, RB: 2-4, WR: 2-4, TE: 1-3, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",12.0,1.0,Yes
2021-03-28,SAME,1,1.01,"Lance, Trey",QB,9.12,9.0,41501,WDF - World Devy Federation,"QB: 1-2, RB: 2-6, WR: 2-6, TE: 1-5, ","QB_pTD: 5.0, RB_PPR: 0.5, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,Yes
2021-02-25,SDRAFT,1,1.01,"Mahomes, Patrick",QB,24.14,24.0,60795,Y Kamikaze Feb BB for 2022 $10 bankroll,"QB: 1-2, RB: 1-6, WR: 1-6, TE: 1-6, ","QB_pTD: 6.0, RB_PPR: 0.75, WR_PPR: 0.75, TE_PPR: 1.25",14.0,1.0,Yes
2021-03-31,SFIRSTRANDOM,1,1.01,"McCaffrey, Christian",RB,20.12,20.0,23381,DLF Dynasty Mock April #4,"QB: 1, RB: 1-6, WR: 1-6, TE: 1-6, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,Yes
2021-04-15,SFIRSTRANDOM,1,1.01,"Mahomes, Patrick",QB,28.12,28.0,55093,SafeLeagues Best Ball Dynasty 200 - Deluxe (SF/TE),"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 2.0",12.0,1.0,Yes
