Copies,Date,Decision?,Draft length,DraftType,Last Pick,Lineup,Name,Overall,Pick,Player,Position,Scoring,Teams,league_id
1.0,4/28/2021,Yes,,SAME,,"QB: 1-2, RB: 2-4, WR: 2-6, TE: 1-3, DT+DE: 1-2, LB: 1-2, CB+S: 1-2, ",Hall Of Fame Traders League,1,1.01,"Lawrence, Trevor",QB,"QB_pTD: 5.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,31032
1.0,4/28/2021,Yes,,SAME,,"QB: 1-2, RB: 1-4, WR: 1-5, TE: 1-3, PK: 1, DT+DE: 1-2, LB: 1-2, CB+S: 1-2, ",Ridiculous Traders,1,1.01,"Lawrence, Trevor",QB,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,17119
1.0,4/28/2021,Yes,,SAME,,"QB: 1-2, RB: 2-4, WR: 3-5, TE: 1-2, Def: 1, ",Any Given Sunday,1,1.01,"Lawrence, Trevor",QB,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,59083
1.0,3/26/2021,Yes,,SAME,,"QB: 1-3, RB: 2-6, WR: 2-6, TE: 1-3, Def: 1, ",LEAGUE OF THRONES,1,1.01,"Lawrence, Trevor",QB,"QB_pTD: 4.0, RB_PPR: 2.0, WR_PPR: 2.0, TE_PPR: 2.0",10.0,62090
1.0,1/1/2070,Yes,,SAME,,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ",Masters Bronze Dynasty 140498,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,35488
1.0,1/1/2070,Yes,,SAME,,"QB: 1-2, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1-2, ",Ultimate Dynasty League (2021),1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",10.0,49042
1.0,1/1/2070,Yes,,SAME,,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ",Masters Copper Dynasty 140384 - Classic 9,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",10.0,58543
1.0,1/1/2070,Yes,,SAME,,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, PK: 1, Def: 1, ",T-Town Dynasty League,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",10.0,66175
1.0,1/1/2070,Yes,,SAME,,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ",Masters Copper Dynasty 140325,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,64570
1.0,1/1/2070,Yes,,SAME,,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ",Masters Copper Dynasty 140403 - Ontario 4,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,34087
