Copies,Date,Decision?,Draft length,DraftType,Last Pick,Lineup,Name,Overall,Pick,Player,Position,Scoring,Teams,league_id
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-6, WR: 3-8, TE: 1-6, ",The ShaDynasty League,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",12.0,61503
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, DT+DE: 1-2, LB: 1-2, CB+S: 1-2, ",BRUH PASTA,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",10.0,56664
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-6, WR: 3-7, TE: 1-5, DE: 2-4, DT: 1-3, LB: 3-5, CB: 2-4, S: 2-4, ",NFFL 2 American,1,1.01, , ,"QB_pTD: 5.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",16.0,39059
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2, WR: 3, TE: 1, PK: 1, Def: 1, ",Russo Trophy Dynasty League,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",14.0,47027
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-3, WR: 3-5, TE: 1-3, DT+DE: 2-3, LB: 3, CB+S: 2-3, ",The NRA Dynasty Football League,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",14.0,21135
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-6, WR: 2-6, TE: 1-5, ",DLF Dynasty Champion Series 016 - North,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,70548
1.0,1/1/1970,,,SAME,,"QB: 2, RB: 2-4, WR: 2-4, TE: 1-3, PK: 1, Def: 1, ",Swenny's League,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",12.0,23637
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, DT+DE: 2, LB: 3, CB+S: 2, ",The Real Dynasty League,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 1.0",12.0,62464
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ",Dunder Mifflin,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 1.0, TE_PPR: 1.5",12.0,13836
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-4, WR: 2-4, TE: 1-3, PK: 1, Def: 1, ",Empire Elite League,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",10.0,29930
