Date,DraftType,Overall,Pick,Player,Position,Last Pick,Draft length,league_id,Name,Lineup,Scoring,Teams,Copies,Decision?
2021-07-16,,1.0,1.01,"McCaffrey, Christian",RB,16.1,16.0,90016,Mock  1060,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-16,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,98930,Mock  1054,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-16,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,92530,Mock  1059,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-16,SFIRSTRANDOM,1.0,1.01,"McCaffrey, Christian",RB,18.12,18.0,64317,Apex Amateur Dynamic 016,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-16,,1.0,1.01,"McCaffrey, Christian",RB,16.1,16.0,94181,Mock  1049,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-16,SFIRSTRANDOM,1.0,1.01,"Mahomes, Patrick",QB,30.12,30.0,62075,Microphone Fiends Dynasty Best Ball,"QB: 1-2, RB: 2-6, WR: 2-6, TE: 1-5, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.75",12.0,1.0,
2021-07-16,SDRAFT,1.0,1.01,"Mahomes, Patrick",QB,85.12,85.0,57653,TNT Devy,"QB: 1-2, RB: 2-6, WR: 4-9, TE: 1-6, DE: 4-6, DT: 2-4, LB: 5-7, CB: 4-6, S: 4-6, ","QB_pTD: Fail, RB_PPR: Fail, WR_PPR: Fail, TE_PPR: Fail",36.0,1.0,
2021-07-16,SDRAFT,1.0,1.01,"Mahomes, Patrick",QB,85.12,85.0,57653,TNT Devy,"QB: 1-2, RB: 2-6, WR: 4-9, TE: 1-6, DE: 4-6, DT: 2-4, LB: 5-7, CB: 4-6, S: 4-6, ","QB_pTD: Fail, RB_PPR: Fail, WR_PPR: Fail, TE_PPR: Fail",36.0,1.0,
2021-07-16,SDRAFT,1.0,1.01,"Mahomes, Patrick",QB,85.12,85.0,57653,TNT Devy,"QB: 1-2, RB: 2-6, WR: 4-9, TE: 1-6, DE: 4-6, DT: 2-4, LB: 5-7, CB: 4-6, S: 4-6, ","QB_pTD: Fail, RB_PPR: Fail, WR_PPR: Fail, TE_PPR: Fail",36.0,1.0,
2021-07-16,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,96504,Mock  1055,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-16,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,92018,Mock  1056,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-16,SFIRSTRANDOM,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,10234,Masters Bronze Live Draft 140759,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-16,SFIRSTRANDOM,1.0,1.01,"Mahomes, Patrick",QB,25.14,25.0,43927,Rise To The Challenge 14-35.23,"QB: 1-2, RB: 2-6, WR: 2-6, TE: 1-5, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",14.0,1.0,
2021-07-16,,1.0,1.01,"Mahomes, Patrick",QB,38.12,38.0,25922,Flex Luger,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, DT+DE: 1-2, LB: 1-2, CB+S: 1-2, ","QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",12.0,1.0,
2021-07-16,,1.0,1.01,"McCaffrey, Christian",RB,16.14,16.0,92845,Mock  1028,,"QB_pTD: 0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",,,
2021-07-16,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,92275,Mock  1058,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-16,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,93722,Mock  1051,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-16,SDRAFT,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,33493,Dr Roto PPR league,"QB: 1, RB+WR+TE: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.1,16.0,95309,Mock  1045,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,93519,Mock  1034,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,96773,Mock  1006,,"QB_pTD: 0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,93720,Mock  1048,,"QB_pTD: 0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.1,16.0,93773,Mock  1035,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.14,16.0,97961,Mock  976,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.1,16.0,98199,Mock  1037,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,98793,Mock  1023,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,93891,Mock  1041,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,96948,Mock  1042,,"QB_pTD: 0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,92805,Mock  1031,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,90267,Mock  1050,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,95901,Mock  1047,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,,1.0,1.01,"McCaffrey, Christian",RB,16.12,16.0,95983,Mock  1046,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
2021-07-15,SDRAFT,1.0,1.01,"McCaffrey, Christian",RB,16.1,16.0,13729,Den of Thieves 2,"QB: 1, RB: 2-3, WR: 2-3, TE: 1, PK: 1, Def: 1, ","QB_pTD: 0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",10.0,1.0,
