Date,DraftType,Overall,Pick,Player,Position,league_id,Name,Lineup,Scoring,Teams,Copies,Decision?
2021-04-12,SAME,1,1.01,Rookie Pick 1,Pick,28940,Band of Brothers,"QB: 1-2, RB: 2-4, WR: 3-6, TE: 1-4, DT+DE: 3-4, LB: 2-4, CB: 1-3, S: 2-3, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-04-08,SAME,1,1.01,"Morgan, James",QB,60365,Devy Wars Dynasty 3,"QB: 1-2, RB: 2-4, WR: 3-5, TE: 1-3, ","QB_pTD: 5.0, RB_PPR: 0.5, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
2021-03-24,SAME,1,1.01,"Jones, Taiwan",RB,31104,Devy Wars Dynasty 1,"QB: 1-2, RB: 2-4, WR: 3-5, TE: 1-3, ","QB_pTD: 5.0, RB_PPR: 0.5, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
2021-04-25,SAME,1,1.01,Rookie Pick 1,Pick,71183,THE DYNASTY LIFE 3.2,"QB: 1-2, RB: 2-4, WR: 2-5, TE: 1-2, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-04-13,SAME,1,1.01,Rookie Pick 1,Pick,45514,Tecmo Super Bowl '21,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, ","QB_pTD: 5.0, RB_PPR: 0.75, WR_PPR: 0.75, TE_PPR: 0.75",12.0,1.0,
2021-02-28,SAME,1,1.01,Rookie Pick 1,Pick,19609,Hye Society Dynasty League,"QB: 2, RB: 2-4, WR: 3-5, TE: 1-3, DT+DE: 0-1, LB: 0-1, CB+S: 0-1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",10.0,1.0,
2021-04-19,SAME,1,1.01,"Kamara, Alvin",RB,49245,Deep Sleeper Dynasty,"QB: 1-2, RB: 2-4, WR: 3-6, TE: 1-4, DT+DE: 3-4, LB: 3-5, CB+S: 3-4, ","QB_pTD: 4.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",11.0,1.0,
2021-04-05,SAME,1,1.01,Rookie Pick 1,Pick,71789,Shenanigans '21,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, ","QB_pTD: 5.0, RB_PPR: 0.75, WR_PPR: 0.75, TE_PPR: 0.75",12.0,1.0,
2021-04-06,SAME,1,1.01,"Henry, Derrick",RB,42836,D42 2021 DISPERSAL DRAFT,"QB: 0-1, RB: 2-5, WR: 3-6, TE: 1-4, Def: 1, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",42.0,3.0,
2021-04-19,SAME,1,1.01,"Wilson, Russell",QB,36685,Copy of D26 Superflex Auction (year 5),"QB: 0-2, RB: 2-6, WR: 3-7, TE: 1-5, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",26.0,2.0,
2021-03-19,SAME,1,1.01,"Kaepernick, Colin",QB,36768,Lyin Den VII,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-04-27,SAME,1,1.01,Rookie Pick 1,Pick,47632,Nightmare League(DL-II),"QB: 1-2, RB: 2-4, WR: 3-5, TE: 2-4, DE: 1-3, DT: 1-3, LB: 3-4, CB: 1-3, S: 1-3, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-03-10,SAME,1,1.01,Rookie Pick 1,Pick,75045,The Premier League,"QB: 2, RB: 2-4, WR: 2-4, TE: 2-4, DE: 1-2, DT: 1-2, LB: 3-4, CB: 1-2, S: 1-2, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",30.0,3.0,
2021-04-15,SAME,1,1.01,"Taylor, Jonathan",RB,25373,Papa Bear Memorial Dynasty League ROD,"QB: 1, RB: 1-2, WR+TE: 3-4, PK: 1, DT+DE: 2-3, LB: 2-3, CB+S: 2-3, ","QB_pTD: 4.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",16.0,1.0,
2021-04-20,SAME,1,1.01,"Burrow, Joe",QB,64602,MFL Lite League,"QB: 0-1, RB: 0-3, WR: 1-4, TE: 1-2, Def: 0-1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
2021-03-13,SAME,1,1.01,Rookie Pick 1,Pick,71504,The Sweet 16 Devy,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",16.0,1.0,
