Date,DraftType,Overall,Pick,Player,Position,league_id,Name,Lineup,Scoring,Teams,Copies,Decision?
1970-01-01,SAME,1.0,1.01, , ,47903,Copy of FDSB Dynasty League,"QB: 1, RB: 1-3, WR: 2-5, TE: 1-2, PK: 1, PN: 0-1, DT+DE: 3-4, LB: 3-4, CB+S: 3-4, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1970-01-01,SFIRSTRANDOM,1.0,1.01, , ,38421,Brownmeister Bowl,"QB: 1-2, RB: 2-4, WR: 2-4, TE: 1-3, Def: 1, ","QB_pTD: 4.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",10.0,1.0,
2021-04-23,SAME,1.0,1.01,Rookie Pick 1,Pick,34136,Copy of AFC Fantasy League,"QB: 1, RB: 2-4, WR: 3-5, TE: 2-3, PK: 1, PN: 1, Off: 1, DE: 2, DT: 1-2, LB: 3-4, CB: 2, S: 2, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",16.0,1.0,
1970-01-01,,1.0,1.01, , ,60567,Corey Davis Charity League ,"QB: 0-1, RB: 1-3, WR: 2-4, TE: 0-2, ","QB_pTD: Fail, RB_PPR: Fail, WR_PPR: Fail, TE_PPR: Fail",32.0,1.0,
1970-01-01,,1.0,1.01, , ,30689,FSA Auction/IDP,,"QB_pTD: Fail, RB_PPR: Fail, WR_PPR: Fail, TE_PPR: Fail",,,
1970-01-01,,1.0,1.01, , ,65723,WNY Invitational Fantasy Football Frenzy ,"QB: 1, RB: 2-3, WR: 2-3, TE: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1970-01-01,,1.0,1.01, , ,64733,DLF Family of Podcast: Family Squabble,,"QB_pTD: Fail, RB_PPR: Fail, WR_PPR: Fail, TE_PPR: Fail",,,
1970-01-01,,1.0,1.01, , ,55072,Test League,,"QB_pTD: Fail, RB_PPR: Fail, WR_PPR: Fail, TE_PPR: Fail",,,
1970-01-01,,1.0,1.01, , ,59294,To Be Deleted,"QB: 1, RB: 1-5, WR: 1-5, TE: 1-3, ","QB_pTD: Fail, RB_PPR: Fail, WR_PPR: Fail, TE_PPR: Fail",12.0,1.0,
1970-01-01,,1.0,1.01, , ,52534,Cutting Edge Fantasy,,"QB_pTD: 4.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",,,
1970-01-01,,1.0,1.01, , ,31015,Hardcore Guillotine League,,"QB_pTD: Fail, RB_PPR: Fail, WR_PPR: Fail, TE_PPR: Fail",,,
1970-01-01,,1.0,1.01, , ,72572,The League - Dynasty Style,"QB: 1, RB: 2-3, WR: 2-4, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1970-01-01,SFIRSTRANDOM,1.0,1.01, , ,28560,Chalupa Batman Football League,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1970-01-01,,1.0,1.01, , ,57372,Aberdeen Ballers,"QB: 1-2, RB: 1-5, WR: 1-5, PK: 1, Def: 1, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 0",8.0,1.0,
1970-01-01,,1.0,1.01, , ,33665,Fantasy Early Years,,"QB_pTD: Fail, RB_PPR: Fail, WR_PPR: Fail, TE_PPR: Fail",,,
1970-01-01,,1.0,1.01, , ,27631,H&H Dynasty,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: Fail, RB_PPR: Fail, WR_PPR: Fail, TE_PPR: Fail",12.0,1.0,
1970-01-01,,1.0,1.01, , ,27024,Covid Escape League (CEL),"QB: 1, RB: 2-4, WR: 2-4, TE: 1-3, DT+DE: 2-5, LB: 2-4, CB+S: 2-4, ","QB_pTD: 4.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",10.0,1.0,
1970-01-01,,1.0,1.01, , ,50985,To Be Deleted,,"QB_pTD: Fail, RB_PPR: Fail, WR_PPR: Fail, TE_PPR: Fail",,,
1970-01-01,,1.0,1.01, , ,15121,To Be Deleted,,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
1970-01-01,SDRAFT,1.0,1.01, , ,66961,Gridiron Cartel ,"QB: 1-2, RB: 2-5, WR: 3-5, TE: 1-5, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.5, TE_PPR: 2.0",12.0,1.0,
2021-04-23 19:33:40,SAME,1.0,1.01,Rookie Pick 1,Pick,34136,Copy of AFC Fantasy League,"QB: 1, RB: 2-4, WR: 3-5, TE: 2-3, PK: 1, PN: 1, Off: 1, DE: 2, DT: 1-2, LB: 3-4, CB: 2, S: 2, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",16.0,1.0,
1970-01-01 00:00:00,,1.0,1.01, , ,33665,Fantasy Early Years,,"QB_pTD: Fail, RB_PPR: Fail, WR_PPR: Fail, TE_PPR: Fail",,,
2021-04-26 23:22:05,SDRAFT,1.0,1.01,"Kelce, Travis",TE,33703,$20 On The Clock 2021 Bestball Draft,"QB: 1-2, RB: 2-6, WR: 0-6, TE: 2-6, Def: 1-2, ","QB_pTD: 6.0, RB_PPR: 0.75, WR_PPR: 1.15, TE_PPR: 1.25",13.0,1.0,
