Player,Overall,Position
"Mahomes, Patrick",1,1.01
"Allen, Josh",2.666666667,1.03
"Murray, Kyler",3.333333333,1.03
"McCaffrey, Christian",3.666666667,1.04
"Watson, Deshaun",5.333333333,1.05
"Jackson, Lamar",6,1.06
"Herbert, Justin",7.333333333,1.07
"Barkley, Saquon",7.666666667,1.08
"Taylor, Jonathan",9,1.09
Rookie Pick 1,11,1.11
"Prescott, Dak",13,1.13
"Kamara, Alvin",13,1.13
"Metcalf, DK",13.33333333,2.01
"Burrow, Joe",14.66666667,2.03
"Cook, Dalvin",15,2.03
"Wilson, Russell",15.66666667,2.04
"Adams, Davante",18,2.06
"Jefferson, Justin",19.66666667,2.08
"Henry, Derrick",21,2.09
"Hill, Tyreek",21.33333333,2.09
"Chubb, Nick",22,2.10
"Brown, A.J.",23,2.11
"Kittle, George",23.66666667,2.12
"Akers, Cam",24.33333333,2.12
"Swift, D'Andre",25.66666667,3.02
Rookie Pick 2,25.66666667,3.02
"Diggs, Stefon",26.33333333,3.02
"Kelce, Travis",26.66666667,3.03
"Dobbins, J.K.",28,3.04
"Jacobs, Josh",28.33333333,3.04
"Hopkins, DeAndre",33,3.09
Rookie Pick 3,33.66666667,3.10
"Ridley, Calvin",37.33333333,4.01
"Rodgers, Aaron",38,4.02
"Edwards-Helaire, Clyde",38,4.02
"Waller, Darren",38,4.02
"Lamb, CeeDee",38,4.02
Rookie Pick 4,38.66666667,4.03
"Thomas, Michael",39.33333333,4.03
"Gibson, Antonio",40,4.04
"Elliott, Ezekiel",40.66666667,4.05
"Robinson, James",42.66666667,4.07
"McLaurin, Terry",43,4.07
Rookie Pick 5,43.33333333,4.07
"Jones, Aaron",43.66666667,4.08
"Sanders, Miles",45.66666667,4.10
"Godwin, Chris",47,4.11
"Hurts, Jalen",49.66666667,5.02
"Mixon, Joe",49.66666667,5.02
"Moore, D.J.",50,5.02
"Higgins, Tee",50,5.02
"Montgomery, David",52.33333333,5.04
"Ekeler, Austin",55,5.07
"Andrews, Mark",55,5.07
"Tagovailoa, Tua",55.33333333,5.07
"Stafford, Matthew",55.33333333,5.07
"Allen, Keenan",55.66666667,5.08
Rookie Pick 6,56,5.08
"Evans, Mike",56,5.08
"Tannehill, Ryan",56.33333333,5.08
"Mayfield, Baker",57,5.09
"Robinson, Allen",60.33333333,5.12
Rookie Pick 7,60.66666667,5.13
Rookie Pick 8,65.33333333,6.05
"Cooper, Amari",65.33333333,6.05
"Dillon, AJ",65.66666667,6.06
"Hockenson, T.J.",66.66666667,6.07
"Claypool, Chase",68.66666667,6.09
"Johnson, Diontae",69,6.09
"Wentz, Carson",70,6.10
"Aiyuk, Brandon",71.33333333,6.11
"Smith-Schuster, JuJu",75.33333333,7.03
"Fant, Noah",75.33333333,7.03
Rookie Pick 9,78,7.06
"Ryan, Matt",78,7.06
"Hunt, Kareem",78,7.06
"Sutton, Courtland",78.66666667,7.07
"Cousins, Kirk",79,7.07
"Goedert, Dallas",80,7.08
"Jeudy, Jerry",80.66666667,7.09
"Golladay, Kenny",81.33333333,7.09
Rookie Pick 10,82.66666667,7.11
"Woods, Robert",83,7.11
"Jones, Daniel",84.33333333,7.12
"Henry, Hunter",88.33333333,8.04
"Carr, Derek",89.33333333,8.05
"Brady, Tom",90,8.06
"Shenault, Laviska",90.66666667,8.07
"Goff, Jared",91,8.07
"Boyd, Tyler",91.66666667,8.08
"Kupp, Cooper",91.66666667,8.08
Rookie Pick 11,92,8.08
"Chark, D.J.",93,8.09
"Jones, Julio",93.33333333,8.09
"Samuel, Deebo",93.66666667,8.10
"Beckham, Odell",94,8.10
Rookie Pick 12,95,8.11
"Carson, Chris",98.66666667,9.03
"Gordon, Melvin",98.66666667,9.03
"Harris, Damien",103.3333333,9.07
"Jones, Ronald",103.6666667,9.08
"Lockett, Tyler",104.3333333,9.08
